ID,Funcionario_ID,Data_Pesquisa,NPS_Lideranca,Resultado_Pesquisa_Clima,Alertas_Comportamentais
1,2352,2022-06-01,5,9.04,Falta de comunicação
2,1398,2022-06-01,10,5.64,
3,2968,2022-06-01,1,6.46,
4,1594,2022-06-01,5,9.01,
5,2480,2022-06-01,10,9.21,
6,1304,2022-06-01,10,6.05,
7,158,2022-06-01,0,6.9,
8,893,2022-06-01,4,9.49,Conflitos interpessoais
9,585,2022-06-01,7,5.82,
10,2148,2022-06-01,8,5.83,
11,130,2022-06-01,7,7.94,
12,582,2022-06-01,2,7.78,
13,1182,2022-06-01,9,7.32,
14,374,2022-06-01,9,5.88,
15,1080,2022-06-01,4,8.73,
16,2334,2022-06-01,1,8.69,
17,1755,2022-06-01,4,8.47,
18,1884,2022-06-01,5,8.77,Falta de comunicação
19,197,2022-06-01,1,7.25,
20,195,2022-06-01,1,6.41,
21,841,2022-06-01,4,7.55,
22,19,2022-06-01,8,8.6,
23,2894,2022-06-01,3,6.34,
24,56,2022-06-01,5,8.88,
25,1486,2022-06-01,1,5.62,Baixa participação em reuniões
26,2403,2022-06-01,2,6.66,
27,1811,2022-06-01,1,8.77,
28,1895,2022-06-01,3,5.23,
29,1822,2022-06-01,5,5.62,
30,507,2022-06-01,0,6.62,
31,2197,2022-06-01,10,9.44,
32,785,2022-06-01,6,8.71,
33,2682,2022-06-01,1,7.3,Isolamento da equipe
34,1930,2022-06-01,3,6.79,
35,1065,2022-06-01,1,6.08,
36,1909,2022-06-01,5,8.11,Falta de comunicação
37,2100,2022-06-01,9,5.94,
38,2250,2022-06-01,9,8.71,
39,1563,2022-06-01,2,9.08,
40,1995,2022-06-01,1,7.52,
41,957,2022-06-01,9,9.11,
42,2579,2022-06-01,4,8.05,
43,2637,2022-06-01,5,8.54,
44,708,2022-06-01,8,6.13,
45,2118,2022-06-01,1,6.09,
46,2323,2022-06-01,5,7.13,
47,1913,2022-06-01,3,8.97,
48,415,2022-06-01,5,5.75,
49,2186,2022-06-01,3,5.55,
50,1012,2022-06-01,2,6.97,
51,1708,2022-06-01,1,7.26,
52,2801,2022-06-01,3,8.74,
53,1083,2022-06-01,7,6.37,
54,418,2022-06-01,7,5.03,
55,1417,2022-06-01,9,8.5,Falta de comunicação
56,2823,2022-06-01,3,5.07,
57,515,2022-06-01,3,7.67,
58,2797,2022-06-01,1,5.88,
59,2822,2022-06-01,0,6.62,
60,1634,2022-06-01,8,5.15,
61,433,2022-06-01,10,5.24,
62,2693,2022-06-01,3,6.2,
63,1766,2022-06-01,10,9.21,
64,1540,2022-06-01,0,6.67,Falta de comunicação
65,2753,2022-06-01,1,7.34,
66,1191,2022-06-01,2,7.63,
67,337,2022-06-01,4,5.84,
68,751,2022-06-01,7,8.57,
69,1222,2022-06-01,5,6.78,
70,2937,2022-06-01,7,6.84,
71,1347,2022-06-01,7,6.01,
72,512,2022-06-01,2,8.99,
73,1481,2022-06-01,0,6.8,
74,1322,2022-06-01,10,5.75,
75,1949,2022-06-01,7,5.74,
76,240,2022-06-01,1,7.4,
77,428,2022-06-01,6,8.92,
78,2667,2022-06-01,10,9.2,
79,2082,2022-06-01,1,5.6,
80,2707,2022-06-01,0,6.56,
81,938,2022-06-01,10,8.93,
82,2589,2022-06-01,9,8.44,
83,494,2022-06-01,7,8.85,
84,2116,2022-06-01,10,7.95,
85,2276,2022-06-01,5,6.46,
86,627,2022-06-01,3,5.51,
87,1935,2022-06-01,1,8.5,
88,2799,2022-06-01,4,9.29,
89,1001,2022-06-01,2,6.31,
90,1106,2022-06-01,3,5.32,
91,2004,2022-06-01,1,7.38,
92,793,2022-06-01,8,7.19,
93,656,2022-06-01,5,5.08,
94,1021,2022-06-01,7,5.84,
95,2612,2022-06-01,3,5.17,
96,736,2022-06-01,0,5.88,
97,308,2022-06-01,3,6.17,Conflitos interpessoais
98,630,2022-06-01,0,5.74,
99,526,2022-06-01,9,6.11,
100,4,2022-06-01,9,8.82,
101,1121,2022-06-01,3,8.37,
102,1796,2022-06-01,7,7.3,
103,2473,2022-06-01,1,5.23,
104,1916,2022-06-01,3,8.25,
105,152,2022-06-01,4,9.39,
106,1094,2022-06-01,8,9.45,
107,1589,2022-06-01,1,7.7,
108,2648,2022-06-01,3,8.0,Conflitos interpessoais
109,950,2022-06-01,6,7.52,
110,780,2022-06-01,6,5.27,
111,2146,2022-06-01,7,8.36,
112,657,2022-06-01,3,6.8,
113,1005,2022-06-01,7,6.18,
114,2474,2022-06-01,2,5.53,
115,2628,2022-06-01,4,6.75,
116,382,2022-06-01,8,7.5,
117,1490,2022-06-01,8,5.24,
118,2984,2022-06-01,3,7.16,
119,2252,2022-06-01,10,7.59,
120,2114,2022-06-01,10,6.41,
121,2071,2022-06-01,10,7.57,
122,1901,2022-06-01,3,9.46,
123,1506,2022-06-01,3,7.64,
124,288,2022-06-01,5,7.26,
125,326,2022-06-01,4,5.56,
126,2857,2022-06-01,4,5.19,
127,2199,2022-06-01,3,6.74,Desmotivação observada
128,1611,2022-06-01,1,7.84,
129,877,2022-06-01,7,8.02,
130,1431,2022-06-01,10,8.05,
131,2827,2022-06-01,7,7.93,
132,1074,2022-06-01,6,5.2,
133,1378,2022-06-01,4,6.87,
134,2460,2022-06-01,6,8.44,
135,787,2022-06-01,10,8.92,
136,1224,2022-06-01,6,5.25,
137,1551,2022-06-01,5,5.84,
138,1975,2022-06-01,2,8.31,
139,702,2022-06-01,9,5.3,
140,613,2022-06-01,0,8.03,
141,2351,2022-06-01,0,8.24,
142,234,2022-06-01,2,5.2,
143,963,2022-06-01,10,7.91,
144,842,2022-06-01,10,8.59,
145,828,2022-06-01,6,8.18,
146,1952,2022-06-01,6,7.19,
147,1992,2022-06-01,7,8.06,
148,1928,2022-06-01,5,8.07,Desmotivação observada
149,2171,2022-06-01,8,6.86,
150,1405,2022-06-01,8,7.09,Falta de comunicação
151,1554,2022-06-01,5,6.44,
152,1107,2022-06-01,7,8.88,Conflitos interpessoais
153,628,2022-06-01,3,6.98,
154,1565,2022-06-01,10,7.94,
155,2299,2022-06-01,9,5.68,
156,1933,2022-06-01,2,8.08,
157,2998,2022-06-01,10,9.41,
158,2075,2022-06-01,0,6.88,
159,2105,2022-06-01,2,9.17,
160,1131,2022-06-01,2,6.78,
161,845,2022-06-01,1,8.87,
162,448,2022-06-01,3,8.68,
163,1946,2022-06-01,9,9.19,
164,2777,2022-06-01,0,5.55,
165,733,2022-06-01,3,6.17,
166,1834,2022-06-01,7,8.62,
167,560,2022-06-01,6,8.78,
168,1085,2022-06-01,3,6.95,
169,1447,2022-06-01,5,8.26,
170,2932,2022-06-01,7,7.97,
171,1903,2022-06-01,9,8.65,
172,603,2022-06-01,9,8.62,
173,1584,2022-06-01,1,9.39,
174,1734,2022-06-01,5,5.9,
175,1055,2022-06-01,4,9.21,
176,725,2022-06-01,4,7.59,Desmotivação observada
177,2193,2022-06-01,8,7.32,
178,2354,2022-06-01,9,7.08,
179,1237,2022-06-01,4,5.72,
180,2258,2022-06-01,10,5.45,
181,2450,2022-06-01,6,6.93,
182,447,2022-06-01,5,6.81,
183,1843,2022-06-01,0,7.97,
184,2236,2022-06-01,2,8.57,
185,1786,2022-06-01,10,5.94,
186,300,2022-06-01,7,6.08,
187,1219,2022-06-01,8,5.24,
188,1027,2022-06-01,1,6.79,
189,2688,2022-06-01,7,6.1,
190,2380,2022-06-01,1,5.37,Falta de comunicação
191,2133,2022-06-01,3,8.38,
192,683,2022-06-01,1,5.63,
193,398,2022-06-01,0,6.44,
194,1687,2022-06-01,8,9.42,
195,2381,2022-06-01,4,6.02,
196,1814,2022-06-01,6,7.36,
197,14,2022-06-01,6,6.24,
198,338,2022-06-01,8,5.34,
199,748,2022-06-01,8,9.16,
200,368,2022-06-01,2,8.03,
201,1890,2022-06-01,4,6.26,Baixa participação em reuniões
202,1770,2022-06-01,4,8.82,
203,935,2022-06-01,3,7.87,
204,2512,2022-06-01,0,8.23,
205,501,2022-06-01,6,5.39,
206,1110,2022-06-01,5,6.27,Conflitos interpessoais
207,840,2022-06-01,8,7.54,
208,2260,2022-06-01,4,7.15,
209,1130,2022-06-01,10,9.3,
210,858,2022-06-01,9,9.12,
211,779,2022-06-01,1,5.8,
212,610,2022-06-01,7,7.4,
213,2945,2022-06-01,8,9.27,
214,2867,2022-06-01,1,5.54,
215,1011,2022-06-01,0,5.35,Falta de comunicação
216,2908,2022-06-01,5,9.47,
217,2845,2022-06-01,7,6.46,Baixa participação em reuniões
218,1936,2022-06-01,3,9.1,
219,2538,2022-06-01,3,8.25,
220,2365,2022-06-01,6,7.18,
221,2205,2022-06-01,6,6.24,
222,138,2022-06-01,3,9.42,Desmotivação observada
223,375,2022-06-01,5,9.13,
224,95,2022-06-01,3,7.94,
225,1869,2022-06-01,4,9.43,
226,2591,2022-06-01,0,5.02,
227,943,2022-06-01,4,5.19,Falta de comunicação
228,826,2022-06-01,4,5.5,
229,2002,2022-06-01,8,7.45,
230,2059,2022-06-01,0,8.98,
231,46,2022-06-01,8,6.53,
232,1547,2022-06-01,9,7.81,
233,659,2022-06-01,4,5.39,
234,1051,2022-06-01,9,9.17,
235,1597,2022-06-01,8,6.1,
236,1157,2022-06-01,0,9.44,
237,2209,2022-06-01,3,7.02,
238,2422,2022-06-01,3,5.08,Falta de comunicação
239,1016,2022-06-01,10,9.22,
240,131,2022-06-01,4,6.16,
241,1808,2022-06-01,4,8.61,
242,2725,2022-06-01,9,8.89,
243,1577,2022-06-01,8,5.53,
244,2038,2022-06-01,1,8.34,
245,2163,2022-06-01,4,5.97,
246,225,2022-06-01,0,6.76,
247,228,2022-06-01,9,7.61,
248,465,2022-06-01,5,6.96,
249,1670,2022-06-01,5,8.66,
250,202,2022-06-01,6,9.1,Baixa participação em reuniões
251,1631,2022-06-01,4,6.48,
252,2605,2022-06-01,9,6.9,
253,1817,2022-06-01,2,9.36,
254,843,2022-06-01,9,7.05,
255,16,2022-06-01,3,7.93,
256,1780,2022-06-01,6,7.53,Baixa participação em reuniões
257,2884,2022-06-01,2,6.66,Conflitos interpessoais
258,1412,2022-06-01,6,6.32,
259,1717,2022-06-01,0,7.51,
260,2819,2022-06-01,10,6.77,
261,80,2022-06-01,3,8.25,
262,604,2022-06-01,2,5.12,
263,169,2022-06-01,6,5.72,
264,1363,2022-06-01,4,7.22,
265,2800,2022-06-01,5,8.26,
266,2885,2022-06-01,10,5.9,
267,1461,2022-06-01,8,7.22,
268,2675,2022-06-01,9,7.26,
269,1610,2022-06-01,8,8.18,
270,1509,2022-06-01,0,8.95,Isolamento da equipe
271,1236,2022-06-01,2,8.23,
272,275,2022-06-01,3,8.94,
273,141,2022-06-01,8,5.39,
274,1756,2022-06-01,7,6.68,Falta de comunicação
275,2896,2022-06-01,1,5.05,Baixa participação em reuniões
276,1248,2022-06-01,2,5.1,
277,2363,2022-06-01,6,6.59,
278,855,2022-06-01,0,8.46,
279,2679,2022-06-01,8,5.14,
280,1836,2022-06-01,6,5.48,
281,725,2022-12-01,2,9.19,Desmotivação observada
282,398,2022-12-01,9,6.1,
283,1419,2022-12-01,3,7.06,
284,1219,2022-12-01,1,8.98,
285,1682,2022-12-01,8,5.07,
286,78,2022-12-01,9,5.66,
287,1490,2022-12-01,9,5.65,
288,1651,2022-12-01,5,9.45,
289,1174,2022-12-01,9,8.67,Desmotivação observada
290,1114,2022-12-01,8,8.54,Conflitos interpessoais
291,2725,2022-12-01,2,8.92,
292,1348,2022-12-01,1,6.7,
293,2933,2022-12-01,2,5.95,Falta de comunicação
294,1118,2022-12-01,0,5.09,
295,2186,2022-12-01,2,5.79,
296,1451,2022-12-01,2,5.88,
297,1924,2022-12-01,4,9.16,
298,677,2022-12-01,8,8.15,
299,876,2022-12-01,0,7.2,
300,25,2022-12-01,7,6.54,
301,1877,2022-12-01,8,6.12,
302,2965,2022-12-01,10,7.49,
303,2823,2022-12-01,1,8.46,
304,19,2022-12-01,4,7.89,
305,605,2022-12-01,5,8.88,
306,1552,2022-12-01,10,6.0,
307,2214,2022-12-01,2,7.11,
308,313,2022-12-01,8,8.15,
309,1751,2022-12-01,9,7.61,Conflitos interpessoais
310,1511,2022-12-01,7,5.46,
311,2918,2022-12-01,10,6.22,
312,1363,2022-12-01,1,8.55,
313,2187,2022-12-01,9,6.27,
314,932,2022-12-01,4,8.98,
315,2755,2022-12-01,2,6.65,
316,2883,2022-12-01,8,5.95,
317,704,2022-12-01,5,9.48,
318,1439,2022-12-01,2,5.66,
319,124,2022-12-01,7,9.29,
320,907,2022-12-01,4,6.67,
321,610,2022-12-01,1,8.24,
322,105,2022-12-01,5,6.96,
323,443,2022-12-01,3,7.8,
324,1074,2022-12-01,0,6.46,
325,810,2022-12-01,1,7.4,
326,1763,2022-12-01,3,7.32,
327,417,2022-12-01,0,7.56,
328,2856,2022-12-01,8,9.1,
329,2679,2022-12-01,10,8.86,Conflitos interpessoais
330,2258,2022-12-01,10,5.17,
331,1062,2022-12-01,9,9.16,
332,952,2022-12-01,4,7.09,
333,299,2022-12-01,7,5.93,
334,2045,2022-12-01,10,5.21,
335,332,2022-12-01,0,8.77,Baixa participação em reuniões
336,833,2022-12-01,9,9.18,Conflitos interpessoais
337,1481,2022-12-01,0,9.17,
338,920,2022-12-01,2,6.5,Desmotivação observada
339,1026,2022-12-01,6,7.5,
340,1080,2022-12-01,4,8.56,
341,1913,2022-12-01,8,8.07,
342,2150,2022-12-01,10,7.03,
343,2114,2022-12-01,5,9.07,
344,1594,2022-12-01,4,9.21,
345,2845,2022-12-01,10,6.47,
346,312,2022-12-01,3,5.31,
347,396,2022-12-01,2,6.88,
348,1986,2022-12-01,5,5.74,
349,2589,2022-12-01,9,6.55,
350,1184,2022-12-01,0,8.08,
351,501,2022-12-01,7,8.18,
352,711,2022-12-01,9,7.88,
353,374,2022-12-01,3,6.2,
354,520,2022-12-01,6,7.57,
355,2998,2022-12-01,6,5.26,
356,1398,2022-12-01,10,6.57,
357,773,2022-12-01,8,8.16,
358,1870,2022-12-01,3,5.64,
359,1406,2022-12-01,9,8.61,
360,1829,2022-12-01,1,7.83,
361,525,2022-12-01,10,9.46,
362,2354,2022-12-01,6,8.33,
363,1756,2022-12-01,5,9.27,
364,1841,2022-12-01,4,6.04,
365,140,2022-12-01,2,7.36,
366,1797,2022-12-01,7,8.69,
367,2975,2022-12-01,5,9.21,
368,2237,2022-12-01,9,6.03,
369,2559,2022-12-01,5,7.83,Baixa participação em reuniões
370,985,2022-12-01,7,5.02,
371,943,2022-12-01,5,8.02,
372,1370,2022-12-01,0,5.4,
373,234,2022-12-01,4,5.22,
374,2894,2022-12-01,9,8.88,
375,2780,2022-12-01,0,9.41,
376,288,2022-12-01,4,7.54,
377,512,2022-12-01,0,7.18,
378,2074,2022-12-01,7,6.05,
379,2312,2022-12-01,9,5.92,
380,577,2022-12-01,5,6.2,
381,1837,2022-12-01,2,8.8,
382,2109,2022-12-01,8,8.04,
383,1868,2022-12-01,8,5.13,Isolamento da equipe
384,2628,2022-12-01,6,7.2,
385,1802,2022-12-01,0,8.23,
386,1998,2022-12-01,10,7.64,
387,1638,2022-12-01,7,5.81,
388,197,2022-12-01,6,8.6,
389,446,2022-12-01,1,6.58,
390,1780,2022-12-01,8,9.14,
391,1085,2022-12-01,10,8.39,
392,1717,2022-12-01,7,7.78,
393,702,2022-12-01,0,7.09,
394,2053,2022-12-01,9,8.26,
395,1515,2022-12-01,10,7.27,
396,7,2022-12-01,4,8.35,
397,1241,2022-12-01,3,8.16,
398,2591,2022-12-01,5,9.09,
399,679,2022-12-01,3,5.73,
400,1429,2022-12-01,6,7.02,
401,2797,2022-12-01,0,7.0,
402,2519,2022-12-01,4,7.3,
403,1821,2022-12-01,7,5.86,
404,1424,2022-12-01,9,6.26,
405,451,2022-12-01,10,8.33,
406,1886,2022-12-01,9,6.75,
407,1110,2022-12-01,5,6.06,
408,692,2022-12-01,0,7.18,
409,1595,2022-12-01,8,5.21,
410,300,2022-12-01,2,9.17,
411,1464,2022-12-01,8,8.84,
412,275,2022-12-01,10,7.67,
413,448,2022-12-01,1,5.96,
414,1928,2022-12-01,5,8.64,
415,1444,2022-12-01,5,5.19,Baixa participação em reuniões
416,2867,2022-12-01,7,6.14,
417,2345,2022-12-01,3,6.39,
418,2532,2022-12-01,3,5.91,
419,2337,2022-12-01,7,9.49,
420,751,2022-12-01,5,9.32,
421,781,2022-12-01,0,5.74,
422,1895,2022-12-01,7,5.75,
423,1758,2022-12-01,8,8.75,
424,1109,2022-12-01,2,7.49,
425,1834,2022-12-01,5,5.25,
426,2095,2022-12-01,7,6.84,
427,782,2022-12-01,9,8.11,
428,1587,2022-12-01,3,8.91,
429,2607,2022-12-01,3,9.16,
430,778,2022-12-01,1,9.16,
431,199,2022-12-01,8,5.22,
432,176,2022-12-01,7,5.53,
433,1025,2022-12-01,9,8.39,
434,1533,2022-12-01,10,7.38,
435,2409,2022-12-01,10,6.6,
436,1044,2022-12-01,7,9.14,
437,2238,2022-12-01,1,7.07,
438,2891,2022-12-01,7,7.71,
439,489,2022-12-01,9,6.98,
440,2415,2022-12-01,1,5.32,
441,1292,2022-12-01,6,5.49,
442,2437,2022-12-01,1,5.14,
443,243,2022-12-01,0,9.22,
444,1559,2022-12-01,2,7.79,
445,1582,2022-12-01,3,8.6,Desmotivação observada
446,1791,2022-12-01,6,5.26,Isolamento da equipe
447,1584,2022-12-01,0,5.32,
448,1375,2022-12-01,4,6.72,Falta de comunicação
449,2682,2022-12-01,5,9.43,
450,2403,2022-12-01,10,8.44,
451,604,2022-12-01,3,5.48,
452,2296,2022-12-01,1,6.92,
453,240,2022-12-01,6,6.89,
454,1014,2022-12-01,4,7.62,
455,633,2022-12-01,9,6.75,
456,433,2022-12-01,3,9.37,
457,695,2022-12-01,2,9.16,
458,723,2022-12-01,3,9.06,
459,1213,2022-12-01,3,5.33,
460,1577,2022-12-01,10,9.05,
461,1445,2022-12-01,9,9.22,
462,1817,2022-12-01,6,6.31,
463,137,2022-12-01,7,6.97,
464,2476,2022-12-01,0,9.24,
465,1250,2022-12-01,10,6.11,
466,185,2022-12-01,1,6.04,
467,2941,2022-12-01,0,5.88,
468,2364,2022-12-01,7,8.57,
469,1581,2022-12-01,9,8.23,
470,935,2022-12-01,7,7.85,
471,2450,2022-12-01,8,9.29,
472,565,2022-12-01,6,8.36,
473,1755,2022-12-01,7,6.84,
474,581,2022-12-01,7,5.47,
475,1670,2022-12-01,4,9.26,
476,2394,2022-12-01,1,8.78,
477,1909,2022-12-01,5,9.07,
478,1422,2022-12-01,1,9.47,
479,842,2022-12-01,2,8.18,
480,758,2022-12-01,10,6.05,Conflitos interpessoais
481,1610,2022-12-01,2,6.91,
482,2950,2022-12-01,7,7.73,
483,382,2022-12-01,7,8.12,
484,2771,2022-12-01,7,8.64,
485,2138,2022-12-01,4,7.08,
486,1400,2022-12-01,0,9.1,Isolamento da equipe
487,1384,2022-12-01,3,8.13,
488,875,2022-12-01,8,7.98,
489,1900,2022-12-01,2,8.31,
490,1351,2022-12-01,5,7.09,
491,2118,2022-12-01,7,8.29,
492,2252,2022-12-01,8,5.8,
493,1716,2022-12-01,9,6.91,Desmotivação observada
494,112,2022-12-01,2,5.77,
495,2134,2022-12-01,8,9.14,Isolamento da equipe
496,1290,2022-12-01,2,6.81,
497,1376,2022-12-01,5,6.63,
498,195,2022-12-01,10,6.84,
499,2090,2022-12-01,0,8.1,
500,1611,2022-12-01,5,6.45,
501,1739,2022-12-01,6,5.99,
502,245,2022-12-01,3,9.19,
503,323,2022-12-01,6,7.96,
504,976,2022-12-01,6,8.62,
505,10,2022-12-01,0,8.72,
506,2460,2022-12-01,4,6.7,
507,1001,2022-12-01,3,6.65,Isolamento da equipe
508,2482,2022-12-01,10,6.72,
509,1862,2022-12-01,9,5.56,
510,1954,2022-12-01,0,5.55,
511,1206,2022-12-01,2,8.17,
512,2132,2022-12-01,5,7.13,
513,2665,2022-12-01,1,5.23,Baixa participação em reuniões
514,1554,2022-12-01,9,5.1,
515,2351,2022-12-01,1,7.91,
516,2929,2022-12-01,5,6.31,
517,936,2022-12-01,6,5.31,Conflitos interpessoais
518,1766,2022-12-01,9,6.68,
519,1970,2022-12-01,10,6.63,Falta de comunicação
520,828,2022-12-01,9,8.88,
521,736,2022-12-01,4,6.72,
522,1016,2022-12-01,3,6.16,
523,1995,2022-12-01,7,6.3,
524,1564,2022-12-01,4,8.76,
525,2294,2022-12-01,3,6.91,
526,2487,2022-12-01,0,5.02,
527,1157,2022-12-01,7,5.35,
528,1293,2022-12-01,5,6.47,
529,2116,2022-12-01,10,6.32,
530,2882,2022-12-01,10,6.89,Desmotivação observada
531,2290,2022-12-01,1,7.59,
532,1950,2022-12-01,8,7.71,
533,2554,2022-12-01,0,8.96,
534,109,2022-12-01,4,6.98,Baixa participação em reuniões
535,2423,2022-12-01,5,9.09,
536,72,2022-12-01,4,8.68,
537,2800,2022-12-01,7,6.58,Isolamento da equipe
538,152,2022-12-01,0,9.27,
539,1306,2022-12-01,7,5.28,
540,648,2022-12-01,2,7.44,Baixa participação em reuniões
541,1748,2022-12-01,7,7.41,
542,1884,2022-12-01,9,8.38,Isolamento da equipe
543,1003,2022-12-01,10,5.63,
544,169,2022-12-01,10,8.09,Falta de comunicação
545,659,2022-12-01,0,7.24,
546,237,2022-12-01,6,5.04,
547,179,2022-12-01,5,8.94,
548,325,2022-12-01,9,5.73,
549,2281,2022-12-01,6,6.88,
550,1022,2022-12-01,6,5.69,
551,987,2022-12-01,8,7.26,
552,1051,2022-12-01,3,8.93,
553,963,2022-12-01,0,7.89,
554,1486,2022-12-01,6,6.18,
555,630,2022-12-01,0,5.29,Conflitos interpessoais
556,843,2022-12-01,10,7.85,
557,2212,2022-12-01,4,7.9,Isolamento da equipe
558,502,2022-12-01,7,6.74,
559,186,2022-12-01,6,6.97,
560,2205,2022-12-01,4,6.45,
561,1836,2022-12-01,1,5.07,
562,1431,2022-12-01,1,8.53,
563,1279,2022-12-01,3,8.12,
564,145,2022-12-01,4,8.07,
565,1489,2022-12-01,10,5.24,
566,1627,2022-12-01,6,7.05,
567,880,2022-12-01,4,9.38,
568,16,2022-12-01,0,8.79,
569,879,2022-12-01,9,5.37,
570,1721,2022-12-01,6,8.02,
571,337,2022-12-01,6,5.73,
572,1808,2022-12-01,9,7.73,
573,2651,2022-12-01,2,6.62,
574,1917,2022-12-01,2,7.91,
575,710,2022-12-01,8,6.84,
576,346,2022-12-01,5,6.15,
577,2202,2022-12-01,7,8.5,
578,495,2022-12-01,0,6.29,Isolamento da equipe
579,65,2022-12-01,5,8.11,
580,2091,2022-12-01,10,8.08,
581,1774,2022-12-01,3,7.95,Falta de comunicação
582,780,2022-12-01,0,9.06,
583,214,2022-12-01,1,8.04,
584,2071,2022-12-01,3,8.68,
585,2365,2022-12-01,3,7.98,Baixa participação em reuniões
586,2959,2022-12-01,2,5.96,
587,251,2022-12-01,3,7.36,
588,435,2022-12-01,5,6.42,
589,418,2022-12-01,0,7.6,
590,1496,2022-12-01,3,8.54,
591,1072,2022-12-01,3,6.55,
592,1672,2022-12-01,1,9.34,
593,988,2022-12-01,1,7.25,
594,130,2022-12-01,2,6.72,
595,2309,2022-12-01,2,8.21,
596,1405,2022-12-01,9,9.49,
597,2397,2022-12-01,10,5.98,
598,2769,2022-12-01,8,6.02,
599,22,2022-12-01,1,8.77,
600,566,2022-12-01,8,7.2,
601,1799,2022-12-01,6,5.79,
602,81,2022-12-01,2,6.25,
603,1040,2022-12-01,8,5.91,
604,171,2022-12-01,7,5.42,
605,2173,2022-12-01,7,5.84,
606,1931,2022-12-01,4,5.34,
607,253,2022-12-01,4,6.39,
608,1282,2022-12-01,3,7.4,
609,307,2022-12-01,5,7.77,
610,1865,2022-12-01,6,7.46,
611,694,2022-12-01,0,5.47,
612,1420,2022-12-01,4,5.59,Conflitos interpessoais
613,2819,2022-12-01,10,5.67,
614,12,2022-12-01,8,7.92,
615,1957,2022-12-01,8,5.56,
616,1687,2022-12-01,9,5.41,
617,391,2022-12-01,5,6.2,
618,1332,2022-12-01,7,7.53,
619,660,2022-12-01,9,6.28,
620,2636,2022-12-01,7,5.84,
621,379,2022-12-01,9,5.81,
622,1771,2022-12-01,0,5.41,
623,1322,2022-12-01,9,9.44,
624,535,2022-12-01,2,6.19,Conflitos interpessoais
625,380,2022-12-01,9,6.99,
626,463,2022-12-01,8,7.41,Baixa participação em reuniões
627,2987,2022-12-01,1,8.57,
628,2444,2022-12-01,3,6.25,
629,2380,2022-12-01,0,7.31,
630,1906,2022-12-01,4,6.64,
631,167,2022-12-01,8,9.33,
632,638,2022-12-01,0,7.02,
633,2659,2022-12-01,1,5.82,
634,2648,2022-12-01,2,9.02,
635,2163,2022-12-01,6,5.14,
636,405,2022-12-01,0,8.81,
637,1951,2022-12-01,8,6.46,
638,919,2022-12-01,1,7.72,
639,242,2022-12-01,1,8.32,
640,2218,2022-12-01,9,7.14,
641,428,2022-12-01,10,7.84,
642,442,2022-12-01,2,5.16,Falta de comunicação
643,2195,2022-12-01,8,5.89,
644,2011,2022-12-01,10,8.51,
645,71,2022-12-01,5,6.27,Desmotivação observada
646,858,2022-12-01,0,6.88,
647,1474,2022-12-01,7,8.99,
648,1731,2022-12-01,0,7.2,
649,126,2022-12-01,3,5.73,
650,2248,2022-12-01,7,7.55,
651,2352,2022-12-01,8,5.08,
652,2323,2022-12-01,2,6.25,
653,2473,2022-12-01,1,6.63,
654,2802,2022-12-01,6,8.83,
655,1901,2022-12-01,8,7.98,
656,1188,2022-12-01,10,5.14,
657,719,2022-12-01,1,9.41,
658,957,2022-12-01,6,7.2,
659,2849,2022-12-01,10,5.51,
660,1597,2022-12-01,1,5.45,
661,141,2022-12-01,10,8.68,
662,1417,2022-12-01,2,7.3,
663,163,2022-12-01,10,7.35,
664,2923,2022-12-01,9,7.83,Falta de comunicação
665,2068,2022-12-01,4,7.79,
666,2240,2022-12-01,2,5.44,Isolamento da equipe
667,297,2022-12-01,5,7.1,
668,801,2022-12-01,2,5.49,
669,87,2022-12-01,3,6.8,
670,1209,2022-12-01,10,6.41,
671,375,2022-12-01,6,7.41,
672,845,2022-12-01,4,6.56,
673,1340,2022-12-01,7,5.12,
674,631,2022-12-01,4,6.38,
675,555,2022-12-01,3,5.65,
676,1586,2022-12-01,1,6.93,
677,2805,2022-12-01,2,6.88,
678,2514,2022-12-01,3,5.2,
679,1695,2022-12-01,10,6.18,
680,748,2022-12-01,10,9.39,
681,2938,2022-12-01,0,8.23,
682,284,2022-12-01,7,6.81,
683,2803,2022-12-01,7,7.74,
684,1385,2022-12-01,4,9.29,
685,465,2022-12-01,10,5.85,
686,700,2022-12-01,5,5.99,
687,826,2022-12-01,6,7.49,
