ID,Funcionario_ID,Skill_ID,Nome_Skill,Nivel_Competencia,Gap_Critico,Performance_Trilha_Estrategica,Data_Avaliacao
1,1,934,Vue.js,5.11,False,5.99,2024-09-02
2,1,522,Vue.js,6.68,False,4.84,2024-07-20
3,1,143,Vue.js,4.26,False,8.65,2024-06-09
4,1,311,Vue.js,3.71,False,9.94,2024-07-20
5,1,884,Vue.js,4.92,False,8.42,2024-06-17
6,1,778,Vue.js,8.26,False,4.21,2024-12-16
7,1,645,Vue.js,9.7,False,7.94,2024-10-22
8,1,206,Vue.js,6.76,False,5.34,2024-09-03
9,1,419,Vue.js,3.02,False,8.84,2024-09-07
10,1,357,Vue.js,3.86,False,6.22,2024-05-22
11,1,198,Vue.js,5.91,True,8.78,2024-08-04
12,1,77,Vue.js,3.61,True,9.64,2024-11-02
13,1,580,Liderança,6.54,False,5.29,2024-07-02
14,1,970,Liderança,3.56,True,9.52,2024-12-19
15,1,943,Liderança,5.09,True,7.27,2024-07-13
16,1,329,Liderança,3.09,False,7.41,2024-12-25
17,1,586,Liderança,4.34,False,4.88,2024-07-01
18,1,864,Liderança,3.61,False,8.68,2024-08-16
19,1,357,Liderança,3.96,False,9.09,2024-07-10
20,1,274,Design,5.95,True,8.84,2024-08-29
21,1,461,Design,8.3,False,5.41,2024-09-11
22,1,885,Design,9.35,False,5.8,2024-07-01
23,1,824,Design,8.22,False,4.02,2024-09-24
24,1,572,Design,9.72,False,8.44,2024-08-15
25,1,779,Design,5.46,False,4.91,2024-10-08
26,1,246,Design,5.65,False,6.22,2024-08-11
27,1,58,Design,7.18,False,7.94,2024-05-28
28,1,115,Design,6.52,False,4.43,2024-12-11
29,1,574,Design,5.36,False,7.74,2024-08-01
30,1,416,Design,4.14,False,6.22,2024-12-31
31,1,91,SEO,3.5,False,9.23,2024-11-11
32,1,697,SEO,9.91,False,6.32,2024-10-05
33,1,413,SEO,8.07,False,6.53,2024-09-25
34,1,563,Negociação,8.51,False,5.14,2024-12-26
35,1,854,Negociação,8.55,False,8.45,2024-11-06
36,1,55,Negociação,9.74,False,5.43,2024-11-12
37,1,750,Negociação,8.68,True,6.29,2024-10-18
38,1,894,Negociação,7.1,True,6.53,2024-10-03
39,1,48,Negociação,7.98,False,5.77,2024-07-11
40,1,468,Negociação,9.27,False,7.74,2024-07-15
41,1,637,Negociação,6.31,False,6.19,2024-09-26
42,1,488,Negociação,8.54,False,6.13,2024-05-26
43,1,320,Negociação,3.96,False,4.06,2024-09-20
44,1,615,Negociação,5.52,False,4.26,2024-12-16
45,1,955,Excel Avançado,7.74,False,4.84,2024-10-02
