ID,Funcionario_ID,PDI_ID,Area,Lideranca,Data_Inicio,Data_Conclusao_Planejada,Data_Conclusao_Real,Status,Aderencia_Percentual,Evolucao_Competencias
1,1,145,Produto,Líder 8,2024-10-16,2024-12-31,2024-12-31,Concluído,76.96,6.71
2,1,499,Produto,Líder 48,2024-07-05,2024-11-02,,Em Andamento,46.27,7.36
3,1,227,Produto,Líder 36,2024-10-05,2024-12-31,2024-12-31,Concluído,78.22,9.57
4,2,335,Inovação,Líder 33,2024-06-27,2024-12-31,2024-08-09,Concluído,99.83,8.89
5,2,78,Inovação,Líder 2,2024-01-27,2024-07-25,2024-05-21,Concluído,73.83,7.12
6,4,68,Marketing,Líder 20,2023-12-04,2024-05-02,2024-05-05,Concluído,82.5,6.34
7,6,88,Qualidade,Líder 48,2024-11-25,2024-12-31,,Em Andamento,24.0,5.68
8,6,246,Qualidade,Líder 25,2024-11-24,2024-12-31,2024-11-29,Concluído,87.24,7.29
9,6,51,Qualidade,Líder 13,2024-04-03,2024-07-02,2024-05-11,Concluído,78.66,7.13
10,7,330,Qualidade,Líder 14,2023-08-05,2024-05-31,2024-02-08,Concluído,89.28,6.41
11,9,253,Inovação,Líder 1,2022-12-27,2023-03-27,,Cancelado,0.95,4.04
12,10,431,Comercial,Líder 8,2024-05-17,2024-12-13,2024-12-31,Concluído,91.93,9.62
13,10,148,Comercial,Líder 39,2023-11-02,2024-07-29,2024-07-10,Concluído,78.76,8.02
14,11,84,Financeiro,Líder 23,2024-11-13,2024-12-31,2024-12-31,Concluído,97.8,7.91
15,11,457,Financeiro,Líder 5,2024-12-19,2024-12-31,2024-12-31,Concluído,87.59,6.97
16,11,370,Financeiro,Líder 5,2024-10-21,2024-12-31,2024-10-26,Concluído,80.76,7.33
17,12,143,Qualidade,Líder 14,2023-06-19,2023-10-17,,Cancelado,17.68,2.78
18,12,316,Qualidade,Líder 25,2023-10-14,2024-09-08,2023-10-23,Concluído,96.68,6.83
19,12,232,Qualidade,Líder 21,2024-05-28,2024-10-25,2024-07-10,Concluído,87.56,7.58
20,15,111,Comercial,Líder 37,2024-12-14,2024-12-31,,Em Andamento,24.5,5.39
21,15,148,Comercial,Líder 41,2024-09-16,2024-12-31,2024-12-31,Concluído,92.32,7.57
22,15,181,Comercial,Líder 48,2024-09-10,2024-12-31,2024-12-29,Concluído,77.83,6.14
23,16,301,Financeiro,Líder 4,2024-01-12,2024-09-08,,Em Andamento,60.91,7.71
24,17,110,Marketing,Líder 36,2024-04-12,2024-08-10,2024-05-15,Concluído,79.76,7.81
25,17,426,Marketing,Líder 22,2024-08-04,2024-12-31,2024-12-07,Concluído,89.72,7.63
26,17,249,Marketing,Líder 44,2023-11-19,2024-06-16,2023-11-24,Concluído,99.03,7.1
27,18,492,Comercial,Líder 10,2024-11-30,2024-12-31,2024-12-31,Concluído,85.02,8.54
28,20,395,Tecnologia,Líder 45,2023-05-24,2024-01-19,2024-02-05,Concluído,74.45,8.12
29,20,274,Tecnologia,Líder 5,2023-02-21,2024-02-16,2023-08-03,Concluído,83.73,8.58
30,21,310,Tecnologia,Líder 8,2024-12-20,2024-12-31,2024-12-31,Concluído,93.29,8.96
31,21,373,Tecnologia,Líder 36,2024-12-21,2024-12-31,2024-12-31,Concluído,78.97,9.05
32,21,65,Tecnologia,Líder 31,2024-12-12,2024-12-31,2024-12-31,Concluído,91.51,7.11
33,25,234,Inovação,Líder 38,2024-04-12,2024-09-09,2024-04-17,Concluído,80.89,7.69
34,26,183,Qualidade,Líder 11,2023-08-17,2024-01-14,2023-08-30,Concluído,77.35,6.64
35,26,227,Qualidade,Líder 8,2023-09-06,2023-12-05,2023-11-28,Concluído,79.45,7.99
36,26,294,Qualidade,Líder 32,2023-11-02,2024-07-29,2024-07-26,Concluído,89.16,9.14
37,28,152,Tecnologia,Líder 9,2024-10-31,2024-12-31,2024-12-11,Concluído,93.99,9.65
38,29,304,Vendas,Líder 39,2023-11-10,2024-04-08,2024-03-10,Concluído,79.66,9.86
39,31,160,Financeiro,Líder 46,2024-12-04,2024-12-31,2024-12-31,Concluído,88.4,6.67
40,32,465,Produto,Líder 32,2024-07-26,2024-12-31,,Cancelado,17.77,3.87
41,32,444,Produto,Líder 25,2024-07-01,2024-12-31,2024-09-05,Concluído,96.33,6.3
42,33,139,Inovação,Líder 17,2024-12-31,2024-12-31,2024-12-31,Concluído,75.91,9.02
43,35,442,Qualidade,Líder 23,2024-09-08,2024-12-07,2024-09-16,Concluído,78.59,7.79
44,35,360,Qualidade,Líder 16,2024-11-21,2024-12-31,2024-12-22,Concluído,93.7,9.03
45,35,191,Qualidade,Líder 26,2024-08-23,2024-12-31,2024-09-16,Concluído,72.29,7.82
46,38,59,Vendas,Líder 15,2024-08-23,2024-12-31,2024-09-01,Concluído,70.14,7.11
47,39,412,Produto,Líder 40,2024-08-20,2024-12-31,,Cancelado,33.88,2.44
48,41,171,Marketing,Líder 39,2024-11-08,2024-12-31,,Em Andamento,30.72,5.96
49,41,173,Marketing,Líder 20,2024-12-26,2024-12-31,2024-12-31,Concluído,87.26,7.99
50,42,281,Inovação,Líder 21,2024-09-01,2024-11-30,,Em Andamento,48.38,4.11
51,45,435,Tecnologia,Líder 28,2024-04-16,2024-12-31,2024-05-31,Concluído,72.88,9.81
