ID,Funcionario_ID,Treinamento_ID,Nome_Treinamento,Data_Inicio,Data_Conclusao,Horas_Capacitacao,Aderencia_Plano_Educacional,Avaliacao_Eficacia,Status
1,1,81,Python Avançado,2024-10-07,,13.0,82.02,,Em Andamento
2,2,36,Liderança e Gestão de Pessoas,2023-12-25,2024-04-01,25.62,88.11,9.2,Concluído
3,2,43,Machine Learning,2024-12-01,2024-12-29,19.02,96.51,7.31,Concluído
4,2,34,Product Management,2023-12-24,2024-05-12,16.6,72.38,6.68,Concluído
5,2,94,Liderança e Gestão de Pessoas,2024-08-23,2024-12-30,13.48,64.39,7.66,Concluído
6,2,21,Machine Learning,2024-07-03,,17.84,66.49,,Em Andamento
7,2,72,Machine Learning,2024-12-15,2024-12-19,8.17,74.76,7.53,Concluído
8,4,22,Excel Avançado,2023-10-16,2024-04-15,35.06,61.68,9.64,Concluído
9,5,12,Machine Learning,2024-09-17,2024-09-23,38.47,89.36,7.05,Concluído
10,5,64,Vendas Consultivas,2023-12-16,2024-04-28,26.47,89.95,9.06,Concluído
11,5,16,Gestão de Projetos,2024-08-29,2024-12-16,29.2,73.14,6.17,Concluído
12,5,33,Power BI,2024-05-27,2024-12-11,27.69,76.43,9.53,Concluído
13,5,65,Gestão de Tempo,2024-06-02,2024-06-19,9.15,82.54,7.64,Concluído
14,5,69,Python Avançado,2024-01-01,2024-01-04,36.63,75.29,7.78,Concluído
15,6,47,Segurança da Informação,2024-09-25,2024-10-05,19.45,68.8,9.61,Concluído
16,7,60,JavaScript Moderno,2024-09-06,,12.73,58.55,,Em Andamento
17,7,11,Product Management,2023-12-14,2024-05-23,28.59,94.62,7.01,Concluído
18,7,59,Customer Success,2022-11-27,2022-12-12,21.8,93.27,6.32,Concluído
19,7,1,Design Thinking,2024-12-03,,7.39,21.48,,Cancelado
20,7,37,Gestão de Projetos,2024-01-22,,11.96,16.11,,Em Andamento
21,7,6,Design Thinking,2023-10-26,2024-09-11,7.7,79.33,7.71,Concluído
22,7,23,DevOps e CI/CD,2024-01-01,2024-11-06,28.77,91.94,8.9,Concluído
