ID,Funcionario_ID,Data_Desligamento,Tipo_Turnover,Area,Tempo_Casa_Dias,Custo_Desligamento,Risco_Rotatividade
1,1,2024-07-21,Involuntário,Produto,68,33372.09,45.1
2,13,2024-08-02,Voluntário,Tecnologia,47,11899.34,33.91
3,20,2023-07-04,Voluntário,Tecnologia,169,26966.32,87.73
4,26,2023-05-11,Involuntário,Qualidade,192,25093.29,30.9
5,51,2023-10-08,Involuntário,Suporte,18,17697.01,58.24
6,56,2023-06-14,Voluntário,Atendimento,406,23369.45,50.55
7,78,2023-06-25,Involuntário,Marketing,305,40814.67,79.58
8,90,2023-04-13,Voluntário,Operações,293,39947.26,88.44
9,99,2024-09-15,Voluntário,Inovação,396,16726.65,59.41
10,105,2023-11-01,Voluntário,Atendimento,458,5359.79,70.16
11,113,2024-03-20,Voluntário,Comercial,251,8156.61,13.08
12,122,2024-04-04,Involuntário,Vendas,655,58705.33,31.05
13,133,2022-06-18,Voluntário,Inovação,84,35642.69,47.42
14,136,2024-04-24,Voluntário,Operações,297,44236.62,52.53
15,159,2024-07-19,Voluntário,Gente & Gestão,18,30299.66,43.45
16,160,2024-05-21,Voluntário,Produto,425,4487.51,57.42
17,176,2024-05-03,Voluntário,Tecnologia,634,23312.97,78.52
18,183,2023-12-20,Voluntário,Suporte,70,8511.24,33.53
19,184,2024-12-14,Involuntário,Gente & Gestão,29,27901.72,63.04
20,190,2024-06-01,Voluntário,Financeiro,45,19551.71,57.09
21,195,2022-08-21,Voluntário,Atendimento,141,17076.93,58.34
22,201,2024-07-05,Involuntário,Marketing,181,57578.6,87.79
23,202,2024-10-12,Voluntário,Operações,952,29868.55,63.17
24,212,2024-12-08,Involuntário,Produto,9,27028.63,2.32
25,213,2023-10-20,Involuntário,Operações,16,13011.73,40.78
26,215,2024-07-23,Voluntário,Tecnologia,427,13323.26,32.18
27,216,2024-04-02,Voluntário,Produto,332,11994.7,76.72
28,230,2023-06-07,Voluntário,Suporte,44,8178.75,69.73
29,232,2024-12-08,Voluntário,Gente & Gestão,344,5037.13,0.16
30,233,2023-04-26,Voluntário,Operações,272,20341.42,90.02
31,238,2024-03-04,Involuntário,Operações,140,15152.38,89.98
32,241,2024-02-17,Voluntário,Marketing,301,31643.55,39.41
33,245,2023-10-09,Voluntário,Marketing,358,6379.74,51.63
34,246,2024-01-11,Voluntário,Produto,23,14976.89,58.63
35,249,2024-07-18,Voluntário,Marketing,40,7954.6,86.46
36,254,2024-01-16,Involuntário,Operações,263,27429.03,94.45
37,255,2024-06-27,Involuntário,Gente & Gestão,475,18857.9,44.43
38,258,2023-09-02,Voluntário,Produto,257,15442.2,79.92
39,269,2024-09-22,Involuntário,Suporte,394,24959.92,20.68
40,279,2024-11-18,Involuntário,Financeiro,5,31250.19,59.93
41,287,2023-07-22,Involuntário,Gente & Gestão,263,14998.76,89.54
42,291,2024-12-02,Involuntário,Vendas,322,34286.69,41.29
43,308,2024-11-06,Voluntário,Financeiro,963,8945.55,84.24
44,314,2024-11-14,Involuntário,Qualidade,51,24605.33,76.29
45,319,2024-08-10,Voluntário,Vendas,140,46973.95,75.0
46,321,2024-12-15,Involuntário,Atendimento,118,25465.04,23.03
47,331,2024-11-02,Voluntário,Comercial,200,17266.42,98.96
48,339,2023-02-15,Involuntário,Financeiro,52,9536.48,93.02
49,365,2024-12-26,Involuntário,Qualidade,147,7565.65,53.2
50,369,2024-08-26,Voluntário,Qualidade,195,5233.26,96.96
51,383,2024-11-08,Involuntário,Operações,389,6321.19,52.26
52,387,2024-03-31,Voluntário,Produto,115,13578.89,38.6
53,394,2024-10-14,Voluntário,Marketing,213,15604.89,67.99
54,395,2023-12-22,Involuntário,Marketing,46,38116.72,20.46
55,397,2023-12-28,Voluntário,Tecnologia,415,16751.05,39.49
56,399,2024-02-27,Involuntário,Qualidade,452,18564.83,58.01
57,403,2024-08-24,Involuntário,Tecnologia,781,17597.97,83.68
58,408,2024-04-08,Voluntário,Marketing,403,29521.92,6.17
59,413,2024-11-19,Involuntário,Vendas,101,14558.51,79.25
60,414,2023-09-25,Involuntário,Inovação,56,4783.21,44.53
61,417,2024-02-19,Voluntário,Marketing,474,51361.18,84.69
62,418,2022-06-28,Voluntário,Atendimento,114,32257.47,9.04
63,422,2024-10-30,Voluntário,Qualidade,380,45298.95,19.54
64,426,2024-12-21,Voluntário,Suporte,122,43801.91,60.44
65,435,2023-09-24,Voluntário,Produto,374,23933.43,16.32
66,439,2024-10-05,Involuntário,Gente & Gestão,305,25040.3,46.08
67,441,2024-06-01,Involuntário,Comercial,714,16765.83,58.48
68,447,2024-07-17,Involuntário,Comercial,789,4288.43,58.78
69,456,2024-06-01,Voluntário,Vendas,394,11233.73,29.24
70,460,2024-07-29,Involuntário,Vendas,282,30712.15,4.96
71,461,2024-07-20,Voluntário,Financeiro,33,14694.76,10.49
